"name","dept","abbr","display_abbr","url","ct_name","ct_title","ct_add","ct_email","ct_phone","ct_cell","tech_name","tech_title","tech_add","tech_email","tech_phone","tech_cell"
"Aerospace Studies",2460,"afrotc",,"http://www.ndsu.edu/ndsu/afrotc/",,,,,,,,,,,,
"Architecture and Landscape Architecture",2465,"ala",,"http://ala.ndsu.edu/",,,,,,,,,,,,
"Civil and Environmental Engineering",2470,"ce",,"http://www.ce.ndsu.nodak.edu/",,,,,,,,,,,,
"Construction Management and Engineering",2475,"cme",,"http://www.ndsu.edu/cme",,,,,,,,,,,,
"Electrical and Computer Engineering",2480,"ece",,"http://www.ece.ndsu.nodak.edu/",,,,,,,,,,,,
"Industrial and Manufacturing Engineering",2485,"ime",,"http://www.ndsu.nodak.edu/ndsu/ime",,,,,,,,,,,,
"Mechanical Engineering",2490,"me",,"http://www.ndsu.nodak.edu/me",,,,,,,,,,,,
"Military Science",2495,"rotc",,"http://www.ndsuarmyrotc.com/",,,,,,,,,,,,
"College of Human Development and Education",2600,"hde",,"http://www.ndsu.edu/hde/","Virginia Clark Johnson","Dean"," E. Morrow Lebedeff Hall","example@example.com","701-231-8211",,"Virginia Clark Johnson","Dean"," E. Morrow Lebedeff Hall","example@example.com","701-231-8211",
"Apparel, Design, and Hospitality Management",2610,"adfhm",,"http://www.ndsu.nodak.edu/adfhm/",,,,,,,,,,,,
"Human Development and Family Science",2615,"cdfs",,"http://www.ndsu.edu/cdfs/",,,,,,,,,,,,
"Health, Nutrition, and Exercise Sciences",2620,"hnes",,"http://www.ndsu.edu/hnes/",,,,,,,,,,,,
"School of Education",2625,"ed",,"http://www.ndsu.nodak.edu/ndsu/education/",,,,,,,,,,,,
"College of Pharmacy, Nursing, and Allied Sciences",2650,,,"http://www.ndsu.edu/pharmacy/","Charles D. Peterson","Dean"," Sudro Hall",,"701-231-7609",,"Charles D. Peterson","Dean"," Sudro Hall",,"701-231-7609",
"Pharmacy Practice",2660,"pharmpr",,"http://pharmpr.ndsu.nodak.edu/",,,,,,,,,,,,
"Pharmaceutical Sciences",2665,"pharmsci",,"http://pharmsci.ndsu.nodak.edu/",,,,,,,,,,,,
"Nursing",2670,,,"http://nursing.ndsu.nodak.edu/",,,,,,,,,,,,
"Allied Sciences",2680,,,"http://www.ndsu.edu/alliedsciences",,,,,,,,,,,,
"College of Science and Mathematics",2700,"scimath",,"http://www.ndsu.edu/scimath/","Scott Wood","Dean"," Stevens Hall",,"701-231-7411",,"Scott Wood","Dean"," Stevens Hall",,"701-231-7411",
"Biochemistry and Molecular Biology",2710,,,,,,,,,,,,,,,
"Biological Sciences",2715,,,"http://biology.ndsu.nodak.edu/",,,,,,,,,,,,
"Chemistry and Biochemistry",2735,"chem","TRUE","http://www.chem.ndsu.nodak.edu/",,,,,,,,,,,,
"Computer Science",2740,"cs",,"http://www.cs.ndsu.nodak.edu/",,,,,,,,,,,,
"Geosciences",2745,"geosci",,"http://www.ndsu.edu/geosci/",,,,,,,,,,,,
"Mathematics",2750,"math",,"http://www.math.ndsu.nodak.edu/",,,,,,,,,,,,
"Physics",2755,,,"http://www.physics.ndsu.nodak.edu/",,,,,,,,,,,,
"Coatings and Polymeric Materials",2760,"cpm",,"http://cpm.ndsu.nodak.edu/",,,,,,,,,,,,
"Psychology",2765,,,"http://www.ndsu.edu/psychology/",,,,,,,,,,,,
"Statistics",2770,,,"http://www.ndsu.edu/statistics/",,,,,,,,,,,,
"College of University Studies",2800,,,"http://www.ndsu.edu/univ_studies/","Carolyn Schnell","Associate Dean"," Morrill Hall 112",,"701-231-7014",,"Carolyn Schnell","Associate Dean"," Morrill Hall 112",,"701-231-7014",
"Graduate School and Interdisciplinary Studies",2820,,,"http://www.ndsu.edu/gradschool/","David Wittrock","Dean"," Putnam Hall",,"701-231-7033",,"David Wittrock","Dean"," Putnam Hall",,"701-231-7033",
"Vice President for Research and Creativity",4000,,,"http://www.ndsu.edu/research/","Kelly Rusch","Vice President",,,,,"Kelly Rusch","Vice President",,,,
"Center for Computer Assistance Science & Technology",4100,"ccat","TRUE",,,,,,,,,,,,,
"Center for Advanced Tech Transfer",4300,"catt",,,,,,,,,,,,,,
"Center for Nanoscale Science & Engineering",4310,"cnse",,,,,,,,,,,,,,
"Vice President for Information Technology",4500,"vpit",,"http://www.ndsu.edu/vpit/","Marc Wallman","Vice President","Quentin Burdick Building 206",,"701-231-8640",,"Marc Wallman","Vice President","Quentin Burdick Building 206",,"701-231-8640",
"Enterprise Computing & Infrastructure",4530,"eci",,,,,,,,,,,,,,
"Student Wellness",5100,,,"http://www.ndsu.edu/studentwellness/",,,,,,,,,,,,
"Student Health Services",5150,"shs",,,,,,,,,,,,,,
"Northern Crops Institute",7400,"nci",,,,,,,,,,,,,,
"Agricultural Extension Services (AES) Director’s Office",7500,"aes",,,,,,,,,,,,,,
"Agricultural Extension Services (AES) Administrative Facilities",7530,,,"http://www.ag.ndsu.edu/extension/directory/administration/assistant-directors-offices","Stoltenow, Charlie","Assistant Director","Morrill Hall 309, NDSU",,"701-231-7171",,"Stoltenow, Charlie","Assistant Director","Morrill Hall 309, NDSU",,"701-231-7171",
"Agricultural Extension Services (AES) Biochemistry",7600,,,,,,,,,,,,,,,
"Agricultural Extension Services (AES) Agriculture and Biosystems Engineering",7620,,,"http://www.ag.ndsu.edu/extension/directory/agnr/ageng","Bajwa, Sreekala","Department Chair","Ag Engineering 100, NDSU",,"701-231-7265",,"Bajwa, Sreekala","Department Chair","Ag Engineering 100, NDSU",,"701-231-7265",
"Agricultural Extension Services (AES) Animal Science",7630,,,"http://www.ag.ndsu.edu/ansc/","Lardy, Greg","Department Chair","Hultz Hall 100, NDSU",,"701-231-7660",,"Lardy, Greg","Department Chair","Hultz Hall 100, NDSU",,"701-231-7660",
"Agricultural Extension Services (AES) Main Station Farm",7631,,,"http://www.ag.ndsu.edu/mainstation/",,,"Morrill Hall on the Fargo campus",,"701 231-7655",,,,"Morrill Hall on the Fargo campus",,"701 231-7655",
"Agricultural Extension Services (AES) School of Food Systems",7640,,,"http://www.ag.ndsu.edu/food","Hall, Clifford","Assistant Professor","Harris Hall 210",,"701 231-6359",,"Hall, Clifford","Assistant Professor","Harris Hall 210",,"701 231-6359",
"Agricultural Extension Services (AES) Entomology",7650,,,"http://www.ndsu.edu/entomology/","Mark Boetel","Professor","202 Hultz Hall",,"701-231-7901",,"Mark Boetel","Professor","202 Hultz Hall",,"701-231-7901",
"Agricultural Extension Services (AES) Plant Pathology",7660,,,"http://www.ag.ndsu.edu/cpr/plant-pathology","Rasmussen, Jack","Department Chair","Walster Hall 306, NDSU",,"701-231-7058",,"Rasmussen, Jack","Department Chair","Walster Hall 306, NDSU",,"701-231-7058",
"Agricultural Extension Services (AES) Plant Science",7670,,,"http://www.ag.ndsu.edu/plantsciences","Horsley, Richard","Department Chair","Loftsgard Hall 166, NDSU",,"701-231-8142",,"Horsley, Richard","Department Chair","Loftsgard Hall 166, NDSU",,"701-231-8142",
"Agricultural Extension Services (AES) School of Natural Resources Sciences",7680,,,"http://www.ag.ndsu.edu/extension/directory/agnr/nrs","Casey, Frank","Director","Walster Hall 218A, NDSU",,"701-231-8577",,"Casey, Frank","Director","Walster Hall 218A, NDSU",,"701-231-8577",
"Agricultural Extension Services (AES) Veterinary & Microbiology Sciences",7690,,,"http://www.ndsu.edu/vetandmicro/","Dyer, Neil","Interim Chair","Van Es 150, NDSU",,"701-231-7521",,"Dyer, Neil","Interim Chair","Van Es 150, NDSU",,"701-231-7521",
"Agricultural Extension Services (AES) Veterinary Diagnosis Services Department",7691,,,"http://www.ndsu.edu/vetandmicro/","Dyer, Neil","Interim Chair","Van Es 150, NDSU",,"701-231-7521",,"Dyer, Neil","Interim Chair","Van Es 150, NDSU",,"701-231-7521",
